#username	last_User_Dir	last_Server_Dir

amorimigor	./home/amorimigor	./MainServer/usr/amorimigor
tmatos	./home/tmatos	./MainServer/usr/tmatos
rodrigocorreia	./home/rodrigocorreia	./MainServer/usr/rodrigocorreia
lourenco06	./home/lourenco06	./MainServer/usr/lourenco06
leallucia	./home/leallucia	./MainServer/usr/leallucia
manuel82	./home/manuel82	./MainServer/usr/manuel82
ncorreia	./home/ncorreia	./MainServer/usr/ncorreia
motagabriela	./home/motagabriela	./MainServer/usr/motagabriela
filipa93	./home/filipa93	./MainServer/usr/filipa93
ritacarneiro	./home/ritacarneiro	./MainServer/usr/ritacarneiro
